Type,Carat,Cut,Color,Clarity,Depth,Table,X,Y,Z,Price,LogPrice
Diamond,0.51,Ideal,E,SI2,63,56,5.14,5.12,3.23,1170,7.064759028
Diamond,0.38,Very Good,H,VS2,61.5,55,4.66,4.67,2.86,645,6.469250317
Diamond,1.01,Premium,G,VS2,61.6,60,6.51,6.42,3.98,6108,8.717354666
Diamond,0.38,Ideal,G,SI1,61.3,56,4.67,4.63,2.85,855,6.751101469
Diamond,2.09,Ideal,I,SI2,61.2,57,8.19,8.27,5.04,13807,9.532930989
Zirconia,0.76,Ideal,D,VS2,61.2,57,5.91,5.89,3.61,37.22,3.616846251
Diamond,0.4,Ideal,D,SI1,63,57,4.7,4.66,2.95,924,6.828712072
Zirconia,0.57,Ideal,H,SI1,61.8,55,5.31,5.37,3.3,14.21,2.653945942
Zirconia,0.3,Good,E,SI1,63.6,57,4.22,4.24,2.69,5.79,1.756132292
Diamond,1,Fair,H,VVS2,65.3,58,6.25,6.18,4.06,4312,8.369157113
Diamond,0.41,Ideal,D,VS2,61.6,55,4.74,4.77,2.93,1007,6.914730893
Diamond,0.7,Very Good,D,SI1,59.4,63,5.78,5.76,3.43,2628,7.87397838
Diamond,0.72,Premium,J,VS2,62.6,58,5.72,5.66,3.56,1814,7.503289631
Zirconia,0.3,Very Good,G,SI1,61,57,4.31,4.34,2.64,4.92,1.593308531
Diamond,2.24,Premium,I,SI2,61.9,58,8.29,8.36,5.15,15375,9.640498093
Diamond,0.32,Ideal,H,VVS1,62.2,56,4.37,4.38,2.72,730,6.593044534
Diamond,0.41,Good,D,SI1,63.1,57,4.68,4.73,2.97,717,6.575075841
Diamond,1.51,Ideal,F,VS2,61.7,57,7.37,7.31,4.53,13325,9.497397249
Zirconia,1.51,Premium,J,VS2,60.7,60,7.43,7.36,4.49,80.93,4.393584584
Diamond,1.09,Very Good,E,SI1,62.8,56,6.53,6.6,4.12,5771,8.660600655
Zirconia,1,Premium,F,VS2,59,59,6.54,6.51,3.85,77.79,4.354012888
Zirconia,0.73,Ideal,F,VS2,62.7,58,5.72,5.77,3.6,32.33,3.475995592
Diamond,1,Very Good,F,VS2,63.2,56,6.32,6.37,4.01,6701,8.810012048
Diamond,0.73,Ideal,I,VVS1,61.8,57,5.75,5.77,3.56,3239,8.083019919
Zirconia,1.01,Ideal,F,SI1,60,56,6.55,6.49,3.91,58.01,4.060615409
Zirconia,0.71,Premium,E,SI2,62.7,59,5.7,5.66,3.56,25.77,3.249211025
Zirconia,1.71,Ideal,H,VS2,62.1,56,7.64,7.7,4.76,154.19,5.038185608
Diamond,0.56,Ideal,F,SI1,61.4,57,5.3,5.28,3.25,1441,7.273092596
Zirconia,1.06,Premium,F,SI1,58.4,61,6.73,6.69,3.92,60.89,4.109068958
Zirconia,0.31,Ideal,E,VS1,60.2,56,4.44,4.39,2.66,8.84,2.179286877
Diamond,0.7,Ideal,E,VS2,61.4,57,5.76,5.8,3.55,2633,7.875879159
Diamond,0.32,Ideal,G,VS1,60.5,56,4.44,4.42,2.68,828,6.719013154
Zirconia,1.51,Very Good,I,IF,62.2,62,7.3,7.33,4.55,135.2,4.906755164
Zirconia,0.95,Premium,G,SI1,58,62,6.47,6.42,3.74,48.69,3.88547367
Zirconia,1.21,Premium,J,VVS1,61.3,59,6.86,6.81,4.19,66.01,4.189806246
Zirconia,0.93,Ideal,E,SI1,62.8,56,6.24,6.19,3.9,46.52,3.839882328
Diamond,2.58,Premium,H,SI2,62.6,57,8.77,8.73,5.48,16195,9.692457832
Diamond,0.73,Good,E,VS2,63.3,60,5.67,5.73,3.61,2723,7.909489493
Diamond,0.79,Premium,J,SI1,59.1,57,6.08,6.06,3.59,2199,7.695757991
Diamond,1.05,Premium,E,VS2,62.1,58,6.54,6.5,4.05,7056,8.861633598
Diamond,0.74,Very Good,H,VS1,61.4,56,5.81,5.84,3.57,2956,7.991592282
Diamond,0.68,Good,F,SI1,61.2,61,5.59,5.63,3.43,1924,7.562161631
Diamond,0.29,Ideal,H,IF,62.2,55,4.25,4.28,2.65,607,6.408528791
Diamond,0.3,Ideal,D,VS2,61,55,4.38,4.34,2.66,778,6.656726524
Zirconia,0.3,Premium,E,VS2,61.7,61,4.31,4.28,2.65,9.28,2.227861547
Diamond,0.3,Premium,H,SI2,60.2,62,4.37,4.34,2.62,410,6.01615716
Diamond,0.47,Good,I,VVS1,61.8,62,4.94,4.97,3.06,1093,6.996681488
Diamond,1.45,Premium,D,SI1,62.2,58,7.12,7.03,4.4,10800,9.287301413
Diamond,2.01,Very Good,I,SI1,64.1,57,7.89,7.94,5.07,15145,9.625425723
Zirconia,1.16,Ideal,D,VS1,61.2,58,6.73,6.76,4.13,112.65,4.724285667
Diamond,0.52,Ideal,G,SI2,59.7,56,5.28,5.31,3.16,1042,6.948897222
Diamond,0.3,Very Good,I,IF,63.3,56,4.26,4.21,2.68,810,6.697034248
Diamond,0.3,Premium,D,VS2,62.2,58,4.3,4.25,2.66,911,6.814542897
Diamond,0.9,Ideal,D,SI2,62.7,57,6.1,6.15,3.84,3990,8.29154651
Diamond,0.34,Very Good,I,VVS1,61.9,58,4.43,4.52,2.77,626,6.439350371
Zirconia,1.52,Very Good,G,VS2,60.8,57,7.41,7.49,4.53,138.56,4.931303445
Zirconia,0.3,Very Good,F,IF,62.6,55,4.3,4.32,2.7,9.75,2.277267285
Zirconia,1.22,Premium,H,VS1,62.7,56,6.82,6.74,4.25,78.16,4.358758008
Diamond,1.01,Very Good,G,VVS2,63.1,56,6.4,6.34,4.02,7565,8.931287626
Diamond,0.51,Premium,I,SI1,61.3,58,5.16,5.11,3.15,1084,6.988413182
Diamond,1.26,Premium,I,VS2,62.4,58,6.88,6.94,4.31,6023,8.703340753
Diamond,0.4,Very Good,E,VS2,63,58,4.7,4.73,2.97,791,6.673297968
Diamond,1.01,Premium,H,SI1,59.5,59,6.56,6.52,3.89,4771,8.470311206
Diamond,0.56,Good,E,SI2,63.5,57,5.21,5.24,3.32,1172,7.06646697
Diamond,1,Fair,E,SI2,64.6,54,6.33,6.27,4.07,3763,8.232971791
Diamond,1.5,Good,D,SI2,60.2,65,7.37,7.34,4.43,9173,9.124019666
Zirconia,0.31,Premium,I,SI1,61.5,59,4.35,4.37,2.68,4.49,1.501852702
Diamond,2.02,Ideal,J,VS2,61.8,57,8.11,8.14,5.02,14766,9.60008252
Zirconia,0.33,Ideal,G,VVS1,62.039,56,4.48,4.45,2.77,12.25,2.505525937
Diamond,1.08,Ideal,H,SI1,60,58,6.69,6.66,4.01,5867,8.677098709
Diamond,1.6,Ideal,J,SI1,62.8,55,7.48,7.42,4.68,8418,9.038127549
Zirconia,0.52,Very Good,E,SI1,62.9,59,5.12,5.15,3.23,15.28,2.726544784
Diamond,0.51,Very Good,F,SI1,62,54,5.15,5.18,3.2,1265,7.142827401
Diamond,0.7,Very Good,E,VS1,62.2,55,5.65,5.67,3.52,3154,8.056426768
Diamond,0.9,Very Good,J,VS1,60.4,58,6.22,6.27,3.77,3358,8.119100838
Diamond,1.05,Ideal,G,VS2,61.7,56,6.54,6.52,4.03,6350,8.756210092
Diamond,0.93,Good,G,VS1,63.8,59,6.15,6.21,3.94,4503,8.41249912
Diamond,0.42,Ideal,E,VS2,62.3,55,4.83,4.77,2.99,1024,6.931471806
Diamond,1.02,Premium,F,VS2,63,60,6.41,6.35,4.02,5704,8.648922962
Diamond,0.4,Premium,E,SI2,60.5,59,4.78,4.74,2.88,821,6.710523109
Diamond,1.63,Ideal,F,VS1,61.6,57,7.53,7.61,4.66,18179,9.808022361
Zirconia,1.56,Good,G,SI2,63.649,54,7.35,7.31,4.67,68.71,4.229894749
Zirconia,1.19,Ideal,J,SI1,62,56,6.8,6.77,4.21,51.46,3.940804807
Zirconia,0.71,Ideal,I,VVS2,61.4,58,5.7,5.76,3.52,28.15,3.337547355
Diamond,1.35,Good,I,VS2,59.2,65,7.18,7.13,4.23,5610,8.632305999
Diamond,1.86,Ideal,J,VS2,62.6,56,7.95,7.87,4.95,10312,9.241063545
Diamond,1.14,Ideal,D,SI1,60.9,56,6.75,6.81,4.13,6070,8.711113884
Diamond,0.33,Ideal,E,VS1,60.2,57,4.52,4.48,2.71,1002,6.909753282
Diamond,1.08,Premium,G,VS1,63,59,6.56,6.5,4.11,7523,8.925720274
Diamond,0.38,Ideal,F,VVS1,62.3,54.1,4.63,4.66,2.9,1101,7.003974137
Diamond,1.06,Ideal,F,VS2,60.5,57,6.6,6.58,3.99,6399,8.763897007
Diamond,0.31,Ideal,H,SI2,61.3,55,4.35,4.38,2.67,421,6.042632834
Diamond,1.53,Premium,G,VS1,60.2,59,7.5,7.45,4.5,13119,9.48181684
Diamond,0.35,Ideal,D,SI1,61.6,55,4.53,4.56,2.8,644,6.467698726
Diamond,0.75,Ideal,D,SI2,60.3,57,5.85,5.89,3.54,2726,7.910590612
Diamond,1.21,Ideal,H,VS2,62.2,55,6.84,6.79,4.24,5882,8.679652119
Zirconia,0.39,Ideal,G,VVS1,62.3,57,4.64,4.7,2.91,12.05,2.48906466
Diamond,0.3,Premium,D,SI1,62,60,4.29,4.26,2.65,709,6.563855527
Zirconia,0.83,Ideal,E,SI1,61.5,55,6.05,6.08,3.73,44.26,3.790081335
Diamond,0.59,Ideal,G,VVS2,62.7,56,5.33,5.36,3.35,2125,7.661527081
Diamond,0.42,Ideal,I,VVS1,60.2,57,4.85,4.88,2.93,884,6.784457063
Diamond,0.42,Good,G,SI1,63.2,57,4.77,4.79,3.02,737,6.602587892
Zirconia,0.93,Premium,J,VS2,61.1,59,6.34,6.32,3.87,34.38,3.537475
Diamond,0.73,Ideal,F,VVS1,61.9,56,5.83,5.76,3.59,3342,8.114324709
Diamond,0.34,Ideal,F,VVS2,62,54.2,4.47,4.49,2.78,846,6.74051936
Zirconia,1.56,Premium,I,SI1,61.7,59,7.44,7.38,4.57,78.71,4.365770212
Diamond,1.09,Very Good,F,VS1,62.9,58,6.51,6.55,4.11,7598,8.935640334
Diamond,1.59,Premium,F,SI2,60.3,59,7.6,7.55,4.57,9972,9.207536445
Diamond,0.3,Ideal,D,VS2,62.9,56,4.28,4.24,2.68,911,6.814542897
Diamond,1.31,Ideal,H,SI1,60.8,56,7.12,7.08,4.32,7519,8.925188429
Diamond,0.32,Ideal,D,SI1,60.8,57,4.44,4.41,2.69,756,6.628041376
Diamond,1.01,Premium,F,VS2,62.2,60,6.37,6.4,3.97,6416,8.76655015
Diamond,0.59,Ideal,I,VS2,61.8,56,5.39,5.42,3.34,1371,7.22329568
Diamond,0.33,Ideal,E,VS2,62.6,57,4.37,4.42,2.75,723,6.583409222
Diamond,1.01,Ideal,E,SI1,62.2,57,6.41,6.35,3.97,5973,8.695004593
Zirconia,0.81,Premium,G,VS1,61.7,59,6.07,5.96,3.71,37.42,3.622205321
Zirconia,1.01,Premium,H,VS2,61.922,62,6.45,6.37,3.97,50.15,3.915018514
Zirconia,0.71,Very Good,D,VVS2,62.3,60,5.65,5.71,3.54,41.79,3.732657076
Diamond,0.9,Very Good,H,SI2,59.5,63,6.26,6.31,3.74,3160,8.058327307
Diamond,0.35,Ideal,D,SI1,62.3,55,4.52,4.56,2.83,644,6.467698726
Diamond,1.2,Very Good,G,VVS1,62.8,56,6.73,6.75,4.23,9609,9.170455438
Diamond,0.71,Premium,G,SI1,58.9,62,5.92,5.83,3.46,2450,7.803843304
Zirconia,0.92,Premium,D,SI2,62.5,59,6.24,6.2,3.89,39.05,3.664842876
Diamond,0.71,Premium,J,SI1,61,61,5.71,5.66,3.47,1853,7.524561226
Zirconia,0.51,Ideal,E,VS1,61.4,56,5.14,5.16,3.16,24.56,3.201119103
Diamond,0.31,Good,F,VS2,63.7,59,4.26,4.31,2.73,583,6.368187186
Diamond,0.56,Very Good,H,SI2,62,63,5.26,5.21,3.27,956,6.862757913
Diamond,0.5,Ideal,E,VS2,60.8,57,5.16,5.13,3.13,1768,7.477604243
Diamond,0.73,Ideal,F,SI1,62.1,55,5.75,5.78,3.58,2822,7.945201132
Diamond,0.3,Ideal,I,SI1,61.9,57,4.28,4.31,2.66,422,6.045005314
Diamond,0.32,Very Good,G,VVS1,60.9,57,4.41,4.44,2.69,676,6.516193076
Diamond,0.82,Ideal,I,VS1,61.6,56,6.05,6.01,3.72,3071,8.02975852
Diamond,1.15,Ideal,I,VS2,61.7,57,6.72,6.74,4.15,5534,8.61866616
Diamond,0.43,Ideal,I,VS2,61.8,55,4.85,4.89,3.01,716,6.573680167
Diamond,0.24,Very Good,E,VVS2,63.1,56,3.92,3.97,2.49,552,6.313548046
Zirconia,0.32,Very Good,F,VVS2,62.3,57,4.38,4.41,2.73,8.56,2.14710019
Diamond,1.51,Very Good,F,VS1,62.6,57,7.25,7.29,4.55,14976,9.614204199
Diamond,0.43,Premium,G,VS2,60.8,59,4.91,4.86,2.97,1113,7.014814351
Zirconia,0.36,Premium,F,SI1,61.6,60,4.54,4.61,2.82,6.6,1.887069649
Diamond,0.7,Very Good,G,VS2,61.3,57,5.66,5.7,3.48,2433,7.796880343
Diamond,1.22,Very Good,J,SI1,58.8,61,6.94,7,4.1,4969,8.510973892
Diamond,0.72,Premium,E,VS1,61.5,60,5.79,5.75,3.55,2961,7.993282328
Zirconia,0.33,Ideal,F,VVS1,61.9,56,4.47,4.42,2.75,11.23,2.418588769
Diamond,1,Good,H,VS2,56.9,63,6.6,6.57,3.75,5208,8.557951184
Diamond,1.5,Good,E,VS2,63.9,58,7.24,7.2,4.61,14026,9.548668029
Zirconia,0.31,Good,E,VVS1,59,59,4.4,4.42,2.6,9.09,2.207174908
Zirconia,0.9,Good,F,SI1,63.9,58,6.12,6.08,3.9,39.64,3.679838709
Zirconia,0.3,Ideal,D,VS2,62.3,54,4.33,4.3,2.69,10.02,2.304583096
Diamond,0.31,Ideal,H,VS2,61.2,59,4.36,4.4,2.68,515,6.244166901
Zirconia,0.71,Fair,F,SI1,62.6,57,5.73,5.68,3.57,22.97,3.134189017
Diamond,0.3,Good,I,VVS1,63.8,56,4.26,4.23,2.71,709,6.563855527
Diamond,0.32,Good,D,SI1,63.7,55,4.33,4.31,2.75,706,6.559615237
Diamond,0.81,Premium,H,SI2,60,59,6.03,5.97,3.62,2344,7.759614151
Diamond,0.91,Premium,F,SI2,61.4,60,6.23,6.21,3.82,3618,8.193676666
Diamond,0.32,Ideal,G,VS1,62.3,55,4.37,4.4,2.73,645,6.469250317
Diamond,2.02,Premium,E,SI2,60.4,57,8.21,8.18,4.95,14574,9.586994398
Diamond,0.43,Ideal,H,VVS1,62.3,54,4.85,4.84,3.02,1169,7.063903961
Zirconia,0.34,Very Good,H,VS1,63.1,57,4.44,4.4,2.79,8.42,2.130609828
Diamond,1.09,Ideal,H,SI2,60,59,6.72,6.77,4.05,4383,8.3854887
Zirconia,0.9,Good,H,SI2,63.1,55,6.08,6.13,3.85,33.26,3.504355474
Zirconia,0.98,Premium,F,SI2,61.8,58,6.37,6.32,3.92,47.39,3.858411236
Diamond,1.26,Premium,D,VVS2,60.5,58,6.99,7.03,4.24,14663,9.593082593
Diamond,0.31,Ideal,G,IF,61.9,54,4.35,4.37,2.7,891,6.792344427
Zirconia,0.33,Ideal,D,VS2,62.6,56,4.43,4.39,2.76,11.02,2.399711804
Diamond,1.31,Good,G,SI2,63.8,56,7.03,6.89,4.44,4864,8.489616424
Diamond,1.01,Very Good,E,VVS2,61.7,60,6.32,6.35,3.91,9930,9.203315757
Diamond,0.53,Ideal,G,VVS2,60.6,56,5.25,5.28,3.19,1932,7.566311015
Zirconia,0.31,Very Good,G,VS1,63.3,57,4.31,4.28,2.72,8.24,2.109000344
Diamond,1,Very Good,H,SI1,62.1,58,6.44,6.45,4,5247,8.565411764
Diamond,0.77,Ideal,I,VVS2,62.1,57,5.84,5.86,3.63,2824,7.945909599
Zirconia,0.74,Very Good,G,SI2,62.8,59,5.71,5.76,3.6,24.88,3.214064268
Zirconia,2.09,Ideal,I,SI1,61.8,56,8.15,8.22,5.06,188.25,5.237770867
Diamond,1.57,Ideal,E,VS2,60.5,57,7.53,7.57,4.57,17548,9.772695262
Diamond,0.5,Ideal,E,VS2,62.2,55,5.07,5.09,3.16,1624,7.392647521
Diamond,0.36,Ideal,F,SI1,62.7,57,4.53,4.56,2.85,520,6.253828812
Diamond,1.02,Ideal,G,VVS2,62.1,57,6.43,6.45,4,8401,9.036106025
Diamond,0.3,Ideal,E,SI2,62,54,4.33,4.35,2.69,401,5.993961427
Diamond,0.23,Very Good,D,VVS1,61.3,61,3.94,3.99,2.43,492,6.198478716
Diamond,1.01,Ideal,G,IF,62.2,61,6.34,6.4,3.96,8957,9.100190628
Diamond,2.35,Premium,H,SI2,62.3,58,8.51,8.44,5.28,16340,9.701371368
Diamond,1.1,Ideal,H,VS2,60.5,57,6.73,6.7,4.06,5347,8.584290935
Diamond,0.85,Premium,D,SI2,60.5,60,6.11,6.06,3.68,2737,7.914617709
Zirconia,1.01,Good,G,VVS2,63.2,59,6.34,6.38,4.02,82.81,4.416548827
Diamond,0.32,Very Good,D,VS2,58.8,59,4.49,4.52,2.65,646,6.470799504
Diamond,2.01,Very Good,H,SI1,60.6,62,8.05,8.08,4.89,16582,9.716073049
Diamond,0.32,Premium,H,VVS2,62.2,58,4.38,4.33,2.71,773,6.650279049
Diamond,0.3,Ideal,F,VVS1,62.6,55,4.28,4.31,2.69,814,6.701960366
Zirconia,0.54,Ideal,D,SI1,61.5,56,5.23,5.25,3.22,18.28,2.905807566
Diamond,0.33,Ideal,G,VS2,61.4,56.1,4.42,4.45,2.73,604,6.403574198
Diamond,0.3,Premium,E,VS2,59.2,59,4.41,4.37,2.6,844,6.738152495
Diamond,0.54,Premium,F,SI2,61.2,60,5.26,5.16,3.19,1013,6.920671504
Diamond,0.23,Very Good,D,VVS1,60.5,55,4.01,4.02,2.43,472,6.156978986
Diamond,0.7,Ideal,J,SI2,61.6,57,5.68,5.65,3.49,1826,7.509883061
Zirconia,2.12,Premium,J,SI2,62.3,61,8.21,8.16,5.1,133.54,4.894401058
Zirconia,1.38,Very Good,H,SI2,62.3,60,7.07,7.12,4.42,70.06,4.249352018
Diamond,0.9,Good,E,VS2,64,58,6.02,6.07,3.87,4278,8.36124089
Zirconia,0.41,Very Good,D,VVS1,61.9,60,4.71,4.75,2.93,15.14,2.717340248
Zirconia,0.39,Ideal,F,SI1,62.5,55,4.68,4.63,2.91,10.13,2.315501318
Diamond,0.93,Very Good,I,VS2,63.5,57,6.13,6.21,3.92,3563,8.178358166
Diamond,0.34,Ideal,I,SI1,62.4,56,4.49,4.45,2.79,589,6.378426184
Zirconia,1.5,Very Good,F,VS1,60.5,55,7.39,7.48,4.5,171.44,5.144233351
Diamond,0.53,Good,J,VS2,63.3,56,5.12,5.18,3.26,1023,6.930494766
Diamond,0.51,Ideal,G,VVS2,61.3,57,5.12,5.15,3.15,1875,7.536363938
Diamond,1.01,Very Good,F,SI2,62.2,58,6.36,6.4,3.97,4121,8.323851131
Diamond,1.78,Good,G,SI2,63.8,57,7.73,7.62,4.9,9071,9.112837791
Zirconia,0.59,Premium,D,SI2,61.2,60,5.42,5.37,3.3,17.29,2.8501283
Zirconia,1.51,Good,H,SI2,61,56,7.29,7.37,4.47,90.67,4.507226542
Zirconia,1.07,Ideal,E,SI2,61.6,55,6.62,6.59,4.07,50.2,3.916015027
Diamond,1.04,Ideal,H,VS1,62.7,55,6.43,6.49,4.05,5577,8.626406276
Diamond,0.35,Ideal,F,VVS1,60.6,57,4.57,4.6,2.78,994,6.901737207
Zirconia,0.33,Premium,E,VS2,61,60,4.42,4.47,2.71,7.95,2.073171929
Diamond,0.54,Ideal,D,SI1,62.9,57,5.22,5.17,3.27,1786,7.487733761
Diamond,0.77,Very Good,D,VS1,62.4,58,5.82,5.87,3.65,3643,8.200562797
Zirconia,1.04,Premium,I,VS1,61.6,56,6.59,6.52,4.04,53.81,3.985459324
Diamond,0.53,Very Good,E,VS1,61.8,60,5.13,5.22,3.2,1874,7.535830463
Diamond,0.55,Premium,E,VS2,61.1,58,5.3,5.28,3.23,2030,7.615791072
Zirconia,0.24,Very Good,F,VVS1,60.6,60,4.03,4.06,2.45,5.26,1.660131027
Diamond,0.24,Very Good,D,VVS2,62.4,58,3.94,4.01,2.48,552,6.313548046
Diamond,1.01,Good,D,SI1,63.9,61,6.31,6.28,4.02,5147,8.5461693
Diamond,0.32,Ideal,H,VVS1,61.9,55,4.38,4.37,2.71,936,6.841615476
Diamond,1.53,Ideal,F,SI1,61.9,55,7.43,7.36,4.58,11525,9.352273868
Zirconia,0.33,Ideal,G,VVS1,60.4,58,4.5,4.51,2.72,8.82,2.17702187
Diamond,1.04,Premium,D,SI2,58.3,58,6.67,6.63,3.88,3780,8.237479289
Zirconia,0.81,Ideal,H,IF,61.6,58,5.98,6.01,3.69,45.22,3.811539467
Zirconia,1.71,Ideal,G,VS2,61.8,57,7.7,7.6,4.73,184.99,5.22030177
Diamond,0.34,Ideal,G,VS2,61.6,56,4.48,4.51,2.77,573,6.350885717
Diamond,0.32,Ideal,D,SI1,59.6,57,4.47,4.42,2.65,756,6.628041376
Diamond,0.28,Good,E,IF,64.6,58,4.09,4.12,2.65,612,6.416732283
Diamond,0.26,Premium,F,VS1,59.5,58,4.18,4.22,2.5,452,6.11368218
Diamond,1.02,Very Good,F,SI1,60.2,60,6.55,6.61,3.96,5077,8.532475815
Zirconia,0.54,Ideal,G,VVS2,60.6,56,5.26,5.27,3.19,21.84,3.083743151
Diamond,1.52,Ideal,G,VS2,61.5,56,7.38,7.45,4.56,13153,9.484405148
Zirconia,1.2,Very Good,I,IF,59.1,61,6.91,6.99,4.11,78.55,4.363735365
Diamond,0.29,Very Good,I,VS2,62.4,55,4.25,4.27,2.66,384,5.950642553
Diamond,0.31,Good,H,VS2,63.2,58,4.31,4.33,2.73,489,6.192362489
Diamond,1.06,Ideal,I,VS1,61.8,56,6.5,6.57,4.05,6060,8.709465079
Zirconia,0.24,Very Good,F,VVS2,62.1,58,3.96,4.03,2.48,5.26,1.660131027
Zirconia,1.2,Ideal,H,VS2,59.9,57,6.91,6.87,4.13,71.36,4.267737488
Diamond,0.81,Premium,G,VS1,61.7,59,6.07,5.96,3.71,3402,8.132118773
Diamond,0.57,Ideal,I,SI1,61.6,54,5.36,5.38,3.31,1113,7.014814351
Zirconia,0.91,Ideal,G,SI1,60.8,58,6.21,6.29,3.8,54.14,3.991573284
Diamond,1.56,Premium,H,SI1,61.9,59,7.46,7.4,4.6,10990,9.304741047
Diamond,0.43,Premium,D,SI1,62.4,60,4.79,4.82,3,796,6.679599186
Zirconia,0.44,Premium,H,SI2,58.4,60,5.05,4.99,2.93,8.35,2.122261539
Diamond,0.4,Ideal,F,VVS1,62.5,57,4.75,4.72,2.96,1323,7.187657164
Diamond,0.53,Very Good,F,SI1,59.2,59,5.31,5.34,3.15,1284,7.157735484
Diamond,1.09,Premium,I,SI2,61.3,55,6.66,6.62,4.07,4120,8.323608442
Diamond,0.7,Ideal,D,SI1,61.4,54,5.75,5.71,3.52,2822,7.945201132
Diamond,0.58,Very Good,G,VVS2,62.1,58,5.35,5.4,3.34,1872,7.534762657
Diamond,0.73,Ideal,D,SI2,61.9,57,5.76,5.81,3.58,2557,7.846589975
Zirconia,0.72,Ideal,F,SI2,62,55,5.76,5.79,3.58,26.64,3.282413846
Diamond,1.53,Ideal,H,SI1,62.3,57,7.41,7.36,4.6,10153,9.225524507
Zirconia,0.31,Ideal,D,VVS2,61,55,4.38,4.41,2.68,11.81,2.46894663
Diamond,0.69,Very Good,H,SI1,62.5,57.6,5.66,5.72,3.55,1757,7.471363088
Diamond,0.3,Very Good,G,VS1,63.3,56,4.31,4.28,2.72,725,6.586171655
Diamond,0.41,Premium,G,VS2,60.7,59,4.85,4.8,2.93,990,6.897704943
Diamond,0.3,Good,E,SI1,63.7,59,4.21,4.27,2.7,526,6.265301213
Diamond,0.79,Premium,H,VS2,62.6,61,5.9,5.86,3.68,2726,7.910590612
Zirconia,0.4,Ideal,E,VVS2,62.2,56,4.71,4.78,2.95,12.74,2.54474665
Diamond,1.5,Premium,G,VS1,60.2,58,7.41,7.38,4.45,13720,9.526609901
Diamond,1.01,Premium,I,SI2,59.6,62,6.56,6.5,3.89,3665,8.206583614
Diamond,1.14,Very Good,H,SI1,62.9,59,6.62,6.64,4.17,5367,8.588024372
Diamond,1.03,Premium,I,VS1,60.1,59,6.53,6.46,3.9,4199,8.342601681
Diamond,0.93,Very Good,J,VS2,63.3,61,6.19,6.14,3.9,3208,8.073402969
Zirconia,0.92,Ideal,D,SI1,62.3,56,6.2,6.23,3.87,63.57,4.152141661
Zirconia,0.9,Ideal,E,SI2,62.6,56,6.15,6.06,3.82,35.2,3.561046083
Diamond,1.02,Premium,G,VS2,62,57,6.48,6.43,4,5581,8.627123251
Diamond,0.33,Very Good,H,VS1,59,62,4.49,4.52,2.66,540,6.29156914
Diamond,0.33,Ideal,G,VS1,62.4,56,4.43,4.45,2.77,666,6.501289671
Zirconia,0.42,Ideal,G,VS1,61,56,4.86,4.82,2.95,11.61,2.451866796
Diamond,0.33,Ideal,D,VS1,61,56,4.49,4.52,2.75,978,6.88550967
Diamond,0.41,Ideal,E,SI1,62.6,57,4.72,4.73,2.96,755,6.626717749
Diamond,1.06,Very Good,E,SI2,62.1,56,6.52,6.59,4.07,4972,8.511577453
Diamond,1.05,Ideal,G,VS1,61.5,55,6.56,6.59,4.04,7247,8.888342869
Diamond,1.01,Premium,G,IF,61.3,58,6.4,6.48,3.95,7220,8.884610232
Zirconia,0.31,Ideal,I,SI1,63,57,4.34,4.32,2.73,5.75,1.749199855
Diamond,0.36,Ideal,F,VS1,61.3,54,4.63,4.65,2.84,803,6.688354714
Diamond,1.5,Ideal,F,VVS2,63.1,57,7.32,7.23,4.59,18159,9.806921585
Zirconia,0.72,Ideal,G,VS2,62.002,56,5.75,5.79,3.58,26.21,3.266141017
Diamond,0.35,Very Good,D,SI1,63,57,4.46,4.52,2.83,644,6.467698726
Diamond,0.3,Premium,D,VS1,59.4,60,4.38,4.34,2.59,848,6.742880636
Zirconia,0.72,Ideal,G,VVS2,61.2,57,5.72,5.81,3.53,34.39,3.537765824
Diamond,1.09,Very Good,I,VS2,62,56,6.57,6.59,4.08,4959,8.508959386
Zirconia,0.47,Fair,E,SI1,65.2,59,4.75,4.82,3.12,9.11,2.209372711
Diamond,0.43,Premium,I,SI2,59.8,59,4.94,4.9,2.94,726,6.587550015
Diamond,1,Very Good,G,VS1,60.6,63,6.42,6.45,3.9,6699,8.809713541
Diamond,1.09,Ideal,F,SI2,61.6,54,6.69,6.62,4.1,3882,8.264105764
Zirconia,0.53,Ideal,F,VVS2,62.1,56,5.22,5.15,3.22,25.19,3.22644709
Zirconia,1.02,Ideal,E,SI2,62.4,55,6.44,6.47,4.03,48.38,3.879086505
Diamond,1.52,Premium,H,VS2,61.1,59,7.45,7.38,4.53,11066,9.311632623
Zirconia,2.02,Ideal,H,SI2,62.7,57,8.05,8,5.03,173.64,5.15698419
Zirconia,0.31,Ideal,E,VS2,61.7,56,4.35,4.31,2.67,9.59,2.260720889
Zirconia,1.07,Ideal,F,SI1,60.6,57,6.62,6.67,1.07,65,4.17438727
Zirconia,1.15,Good,H,VS2,63.1,56,6.62,6.7,4.2,62.11,4.128907007
Zirconia,1.5,Premium,J,VS2,61.7,56,7.33,7.23,4.49,80.39,4.38688979
Diamond,0.7,Ideal,H,VS2,60.8,56,5.74,5.77,3.5,3656,8.204124933
Zirconia,1.01,Very Good,G,VS2,63.1,57,6.39,6.35,4.02,65.33,4.179451349
Diamond,1,Very Good,E,SI2,62.9,60,6.3,6.35,3.98,4781,8.472405009
